plot,crop_id,year,season,area_mu
A1,4,2024,单季,80.000000000000
A1,4,2027,单季,80.000000000000
A1,4,2030,单季,80.000000000000
A1,6,2025,单季,80.000000000000
A1,6,2029,单季,80.000000000000
A1,7,2026,单季,68.268280360150
A1,7,2028,单季,80.000000000000
A1,12,2026,单季,11.731719639850
A2,2,2025,单季,0.944283167048
A2,2,2028,单季,35.376104770030
A2,3,2024,单季,3.626243037044
A2,3,2026,单季,3.626243037044
A2,4,2025,单季,50.429473795908
A2,4,2028,单季,19.623895229970
A2,6,2024,单季,51.373756962956
A2,6,2026,单季,51.373756962956
A2,6,2030,单季,55.000000000000
A2,7,2027,单季,37.360145213881
A2,7,2029,单季,26.825647758001
A2,12,2025,单季,3.626243037044
A2,12,2029,单季,11.487761470288
A2,13,2027,单季,17.639854786119
A2,13,2029,单季,16.686590771711
A3,2,2024,单季,11.416848643794
A3,2,2028,单季,23.583151356206
A3,4,2025,单季,23.583151356206
A3,4,2027,单季,11.416848643794
A3,4,2030,单季,11.416848643794
A3,6,2024,单季,23.583151356206
A3,6,2026,单季,35.000000000000
A3,6,2029,单季,11.996308452154
A3,7,2025,单季,11.416848643794
A3,7,2027,单季,23.583151356206
A3,7,2029,单季,23.003691547846
A3,12,2028,单季,11.416848643794
A3,12,2030,单季,11.318534499547
A3,13,2030,单季,12.264616856660
A4,4,2026,单季,72.000000000000
A4,4,2029,单季,72.000000000000
A4,6,2024,单季,53.870315481703
A4,6,2027,单季,72.000000000000
A4,7,2025,单季,72.000000000000
A4,7,2028,单季,72.000000000000
A4,7,2030,单季,72.000000000000
A4,13,2024,单季,18.129684518297
A5,2,2026,单季,51.807862122988
A5,2,2029,单季,51.673570341102
A5,4,2026,单季,16.192137877012
A5,4,2029,单季,16.326429658898
A5,6,2024,单季,55.880050711370
A5,6,2028,单季,50.868128225746
A5,7,2025,单季,51.043900891723
A5,7,2027,单季,56.130401946694
A5,7,2030,单季,68.000000000000
A5,12,2024,单季,12.119949288630
A5,12,2027,单季,11.869598053306
A5,13,2025,单季,16.956099108277
A5,13,2028,单季,17.131871774254
A6,2,2025,单季,55.000000000000
A6,4,2028,单季,50.436004986215
A6,5,2028,单季,4.563995013785
A6,6,2026,单季,37.695943734049
A6,6,2030,单季,50.710018323893
A6,7,2024,单季,55.000000000000
A6,7,2027,单季,55.000000000000
A6,7,2029,单季,55.000000000000
A6,13,2026,单季,17.304056265951
A6,13,2030,单季,4.289981676107
B1,2,2025,单季,48.660424653889
B1,2,2028,单季,48.660424653889
B1,2,2030,单季,4.309435546441
B1,3,2024,单季,7.446620521530
B1,3,2027,单季,11.339575346111
B1,5,2024,单季,3.892954824581
B1,5,2030,单季,7.030139799669
B1,6,2025,单季,11.339575346111
B1,6,2028,单季,11.339575346111
B1,6,2030,单季,48.660424653889
B1,8,2024,单季,48.660424653889
B1,8,2026,单季,60.000000000000
B1,8,2029,单季,38.119519091630
B1,9,2027,单季,21.268729946604
B1,9,2029,单季,21.880480908370
B1,14,2027,单季,27.391694707285
B2,2,2029,单季,46.000000000000
B2,3,2026,单季,46.000000000000
B2,6,2025,单季,46.000000000000
B2,6,2028,单季,46.000000000000
B2,7,2024,单季,46.000000000000
B2,8,2027,单季,46.000000000000
B2,8,2030,单季,46.000000000000
B3,2,2026,单季,40.000000000000
B3,2,2029,单季,40.000000000000
B3,6,2025,单季,40.000000000000
B3,6,2028,单季,40.000000000000
B3,7,2024,单季,23.432838179476
B3,8,2027,单季,40.000000000000
B3,8,2030,单季,40.000000000000
B3,14,2024,单季,16.567161820524
B4,2,2026,单季,28.000000000000
B4,2,2029,单季,24.571571759547
B4,3,2029,单季,3.428428240453
B4,6,2028,单季,28.000000000000
B4,6,2030,单季,28.000000000000
B4,8,2025,单季,28.000000000000
B4,8,2027,单季,22.142981820787
B4,9,2024,单季,28.000000000000
B4,9,2027,单季,5.857018179213
B5,2,2026,单季,25.000000000000
B5,2,2029,单季,25.000000000000
B5,6,2025,单季,25.000000000000
B5,6,2027,单季,25.000000000000
B5,7,2028,单季,20.350972025798
B5,8,2024,单季,25.000000000000
B5,8,2030,单季,25.000000000000
B5,9,2028,单季,4.649027974202
B6,2,2024,单季,73.139061352939
B6,2,2027,单季,86.000000000000
B6,2,2030,单季,49.792273509611
B6,3,2030,单季,36.207726490389
B6,5,2024,单季,12.860938647061
B6,6,2026,单季,86.000000000000
B6,6,2028,单季,25.638076899744
B6,7,2029,单季,86.000000000000
B6,8,2025,单季,86.000000000000
B6,8,2028,单季,60.361923100256
B7,2,2028,单季,46.513256632639
B7,3,2025,单季,46.513256632639
B7,3,2027,单季,8.486743367361
B7,3,2030,单季,8.486743367361
B7,5,2024,单季,8.486743367361
B7,6,2025,单季,8.486743367361
B7,6,2027,单季,46.513256632639
B7,6,2030,单季,46.513256632639
B7,8,2024,单季,21.373375005558
B7,8,2026,单季,55.000000000000
B7,8,2029,单季,55.000000000000
B7,9,2024,单季,25.139881627081
B7,9,2028,单季,8.486743367361
B8,2,2027,单季,8.015409278233
B8,2,2030,单季,44.000000000000
B8,3,2024,单季,44.000000000000
B8,3,2027,单季,35.984590721767
B8,6,2025,单季,2.639393617058
B8,6,2029,单季,44.000000000000
B8,7,2026,单季,44.000000000000
B8,8,2025,单季,41.360606382942
B8,8,2028,单季,44.000000000000
B9,2,2025,单季,48.802553449397
B9,2,2030,单季,1.197446550603
B9,3,2028,单季,48.802553449397
B9,4,2024,单季,0.378625451002
B9,5,2024,单季,0.818821099601
B9,5,2027,单季,1.197446550603
B9,6,2026,单季,16.386199065434
B9,6,2029,单季,50.000000000000
B9,7,2026,单季,10.946412009206
B9,7,2030,单季,39.587207926539
B9,8,2024,单季,30.884606279038
B9,8,2027,单季,48.802553449397
B9,8,2030,单季,9.215345522858
B9,9,2026,单季,22.667388925360
B9,9,2028,单季,1.197446550603
B9,10,2024,单季,17.917947170359
B9,11,2025,单季,1.197446550603
B10,2,2025,单季,8.015039035880
B10,2,2028,单季,9.882531819020
B10,3,2025,单季,16.984960964120
B10,3,2028,单季,15.117468180980
B10,6,2026,单季,25.000000000000
B10,6,2030,单季,22.954160243499
B10,7,2030,单季,2.045839756501
B10,8,2024,单季,25.000000000000
B10,8,2027,单季,25.000000000000
B10,8,2029,单季,25.000000000000
B11,2,2026,单季,45.822229579642
B11,3,2026,单季,14.177770420358
B11,3,2029,单季,60.000000000000
B11,6,2024,单季,39.577209146927
B11,6,2027,单季,60.000000000000
B11,6,2030,单季,60.000000000000
B11,7,2024,单季,20.422790853073
B11,8,2025,单季,17.240372949921
B11,8,2028,单季,60.000000000000
B11,9,2025,单季,42.759627050079
B12,2,2025,单季,45.000000000000
B12,2,2028,单季,45.000000000000
B12,6,2027,单季,45.000000000000
B12,6,2029,单季,45.000000000000
B12,8,2024,单季,30.482618322270
B12,8,2026,单季,45.000000000000
B12,8,2030,单季,45.000000000000
B12,14,2024,单季,14.517381677730
B13,2,2025,单季,35.000000000000
B13,2,2028,单季,35.000000000000
B13,6,2027,单季,35.000000000000
B13,6,2029,单季,4.202137241198
B13,7,2026,单季,35.000000000000
B13,7,2030,单季,22.327622432000
B13,8,2029,单季,30.797862758802
B13,9,2030,单季,12.672377568000
B13,10,2024,单季,8.933723707912
B13,11,2024,单季,26.066276292088
B14,2,2024,单季,20.000000000000
B14,3,2027,单季,9.080389180135
B14,3,2030,单季,20.000000000000
B14,5,2027,单季,10.919610819865
B14,6,2025,单季,20.000000000000
B14,8,2026,单季,20.000000000000
B14,8,2029,单季,20.000000000000
B14,9,2028,单季,20.000000000000
C1,4,2024,单季,15.000000000000
C1,4,2030,单季,3.905670153460
C1,5,2027,单季,15.000000000000
C1,5,2030,单季,11.094329846540
C1,9,2026,单季,11.602263627064
C1,9,2029,单季,15.000000000000
C1,10,2026,单季,3.397736372936
C1,10,2028,单季,2.967162695417
C1,11,2025,单季,15.000000000000
C1,11,2028,单季,12.032837304583
C2,3,2024,单季,8.582802633724
C2,4,2025,单季,4.146893654226
C2,4,2027,单季,8.582802633724
C2,5,2025,单季,0.270303712049
C2,5,2028,单季,4.417197366276
C2,5,2030,单季,8.582802633724
C2,9,2029,单季,13.000000000000
C2,10,2028,单季,8.582802633724
C2,10,2030,单季,4.417197366276
C2,11,2024,单季,4.417197366276
C2,11,2026,单季,13.000000000000
C2,12,2025,单季,8.582802633724
C2,14,2027,单季,4.417197366276
C3,5,2026,单季,15.000000000000
C3,5,2029,单季,15.000000000000
C3,9,2025,单季,7.716226907995
C3,10,2025,单季,7.283773092005
C3,10,2028,单季,15.000000000000
C3,10,2030,单季,15.000000000000
C3,11,2024,单季,15.000000000000
C3,11,2027,单季,15.000000000000
C4,4,2025,单季,18.000000000000
C4,5,2028,单季,18.000000000000
C4,8,2030,单季,2.184990366077
C4,9,2026,单季,18.000000000000
C4,9,2029,单季,2.023474110501
C4,10,2027,单季,8.797713955407
C4,10,2029,单季,15.976525889499
C4,11,2024,单季,18.000000000000
C4,11,2027,单季,9.202286044593
C4,11,2030,单季,15.815009633923
C5,4,2028,单季,27.000000000000
C5,5,2025,单季,27.000000000000
C5,9,2027,单季,27.000000000000
C5,9,2030,单季,27.000000000000
C5,10,2026,单季,23.927739812695
C5,10,2029,单季,11.152268510758
C5,11,2024,单季,27.000000000000
C5,11,2026,单季,3.072260187305
C5,11,2029,单季,15.847731489242
C6,4,2026,单季,7.626607152286
C6,4,2029,单季,7.323649864654
C6,5,2026,单季,12.373392847714
C6,5,2029,单季,12.676350135346
C6,9,2028,单季,16.267549874449
C6,9,2030,单季,12.438834108468
C6,10,2025,单季,20.000000000000
C6,10,2027,单季,20.000000000000
C6,10,2030,单季,7.561165891532
C6,11,2024,单季,20.000000000000
C6,11,2028,单季,3.732450125551
D1,17,2025,第一季,15.000000000000
D1,17,2028,第一季,15.000000000000
D1,29,2024,第一季,15.000000000000
D1,29,2026,第一季,15.000000000000
D1,29,2027,第一季,15.000000000000
D1,29,2029,第一季,15.000000000000
D1,29,2030,第一季,15.000000000000
D1,35,2025,第二季,15.000000000000
D1,35,2030,第二季,15.000000000000
D1,36,2024,第二季,15.000000000000
D1,36,2026,第二季,15.000000000000
D1,36,2027,第二季,15.000000000000
D1,36,2028,第二季,15.000000000000
D1,36,2029,第二季,15.000000000000
D2,17,2025,第一季,10.000000000000
D2,17,2028,第一季,7.725772665445
D2,19,2028,第一季,2.274227334555
D2,29,2024,第一季,10.000000000000
D2,29,2026,第一季,10.000000000000
D2,29,2027,第一季,10.000000000000
D2,29,2029,第一季,10.000000000000
D2,29,2030,第一季,10.000000000000
D2,36,2024,第二季,10.000000000000
D2,36,2025,第二季,10.000000000000
D2,36,2026,第二季,10.000000000000
D2,36,2027,第二季,10.000000000000
D2,36,2028,第二季,10.000000000000
D2,36,2029,第二季,10.000000000000
D2,36,2030,第二季,10.000000000000
D3,17,2025,第一季,4.617713406465
D3,17,2028,第一季,1.654933275876
D3,18,2025,第一季,7.092727565655
D3,18,2028,第一季,12.345066724124
D3,19,2025,第一季,2.289559027880
D3,29,2024,第一季,14.000000000000
D3,29,2026,第一季,14.000000000000
D3,29,2027,第一季,14.000000000000
D3,29,2029,第一季,14.000000000000
D3,29,2030,第一季,14.000000000000
D3,37,2024,第二季,14.000000000000
D3,37,2025,第二季,14.000000000000
D3,37,2026,第二季,14.000000000000
D3,37,2027,第二季,14.000000000000
D3,37,2028,第二季,14.000000000000
D3,37,2029,第二季,14.000000000000
D3,37,2030,第二季,14.000000000000
D4,17,2028,第一季,6.000000000000
D4,18,2025,第一季,6.000000000000
D4,29,2024,第一季,6.000000000000
D4,29,2026,第一季,6.000000000000
D4,29,2027,第一季,6.000000000000
D4,29,2029,第一季,6.000000000000
D4,29,2030,第一季,6.000000000000
D4,35,2025,第二季,6.000000000000
D4,35,2030,第二季,6.000000000000
D4,36,2024,第二季,6.000000000000
D4,36,2026,第二季,6.000000000000
D4,36,2027,第二季,6.000000000000
D4,36,2028,第二季,6.000000000000
D4,36,2029,第二季,6.000000000000
D5,17,2026,第一季,7.864326130899
D5,17,2029,第一季,8.205934472214
D5,19,2026,第一季,2.135673869101
D5,19,2029,第一季,1.794065527786
D5,29,2024,第一季,10.000000000000
D5,29,2025,第一季,10.000000000000
D5,29,2027,第一季,10.000000000000
D5,29,2028,第一季,10.000000000000
D5,29,2030,第一季,10.000000000000
D5,36,2024,第二季,10.000000000000
D5,36,2025,第二季,10.000000000000
D5,36,2026,第二季,10.000000000000
D5,36,2027,第二季,10.000000000000
D5,36,2028,第二季,10.000000000000
D5,36,2029,第二季,10.000000000000
D5,36,2030,第二季,10.000000000000
D6,17,2026,第一季,1.256167907870
D6,18,2026,第一季,10.743832092130
D6,18,2029,第一季,11.726446148085
D6,19,2029,第一季,0.273553851915
D6,29,2024,第一季,12.000000000000
D6,29,2025,第一季,12.000000000000
D6,29,2027,第一季,12.000000000000
D6,29,2028,第一季,12.000000000000
D6,29,2030,第一季,12.000000000000
D6,35,2024,第二季,12.000000000000
D6,35,2025,第二季,12.000000000000
D6,35,2026,第二季,12.000000000000
D6,35,2027,第二季,12.000000000000
D6,35,2028,第二季,12.000000000000
D6,35,2029,第二季,12.000000000000
D6,35,2030,第二季,12.000000000000
D7,17,2025,第一季,22.000000000000
D7,17,2028,第一季,22.000000000000
D7,29,2024,第一季,22.000000000000
D7,29,2026,第一季,22.000000000000
D7,29,2027,第一季,22.000000000000
D7,29,2029,第一季,22.000000000000
D7,29,2030,第一季,22.000000000000
D7,35,2024,第二季,22.000000000000
D7,35,2026,第二季,22.000000000000
D7,35,2027,第二季,22.000000000000
D7,35,2028,第二季,22.000000000000
D7,35,2029,第二季,22.000000000000
D7,36,2025,第二季,22.000000000000
D7,36,2030,第二季,22.000000000000
D8,17,2024,第一季,8.751412985416
D8,17,2025,第一季,11.248587014584
D8,17,2027,第一季,8.751412985416
D8,17,2028,第一季,11.248587014584
D8,17,2030,第一季,8.751412985416
D8,29,2024,第一季,11.248587014584
D8,29,2025,第一季,8.751412985416
D8,29,2026,第一季,20.000000000000
D8,29,2027,第一季,11.248587014584
D8,29,2028,第一季,8.751412985416
D8,29,2029,第一季,20.000000000000
D8,29,2030,第一季,11.248587014584
D8,36,2024,第二季,20.000000000000
D8,36,2025,第二季,20.000000000000
D8,36,2026,第二季,20.000000000000
D8,36,2027,第二季,20.000000000000
D8,36,2028,第二季,20.000000000000
D8,36,2029,第二季,20.000000000000
D8,36,2030,第二季,20.000000000000
E1,17,2026,第一季,0.600000000000
E1,17,2029,第一季,0.600000000000
E1,29,2024,第一季,0.600000000000
E1,29,2025,第一季,0.600000000000
E1,29,2027,第一季,0.600000000000
E1,29,2028,第一季,0.600000000000
E1,29,2030,第一季,0.600000000000
E1,38,2024,第二季,0.600000000000
E1,38,2025,第二季,0.600000000000
E1,38,2026,第二季,0.600000000000
E1,38,2027,第二季,0.600000000000
E1,38,2028,第二季,0.600000000000
E1,38,2029,第二季,0.600000000000
E1,38,2030,第二季,0.600000000000
E2,17,2025,第一季,0.600000000000
E2,17,2028,第一季,0.600000000000
E2,29,2024,第一季,0.600000000000
E2,29,2026,第一季,0.600000000000
E2,29,2027,第一季,0.600000000000
E2,29,2029,第一季,0.600000000000
E2,29,2030,第一季,0.600000000000
E2,38,2025,第二季,0.140468860088
E2,38,2026,第二季,0.600000000000
E2,38,2027,第二季,0.600000000000
E2,38,2028,第二季,0.600000000000
E2,38,2030,第二季,0.600000000000
E2,40,2024,第二季,0.600000000000
E2,40,2025,第二季,0.459531139912
E2,40,2029,第二季,0.600000000000
