scenario,q2_frozen_profit_yuan,q3_final_profit_yuan
0,69223454.4574345,69129590.0171092
1,70674728.3941656,70588871.7538819
2,70409954.515986,70344546.692276
3,69337710.8977253,69270258.5925179
4,70446573.85706,70352223.9192659
5,68729954.5140581,68662835.4595643
6,70543599.0952013,70473785.5187203
7,70544728.3697262,70495504.7395388
8,69327340.0475927,69274511.5691369
9,67724153.37012,67664800.3160318
10,68980460.336632,68901351.0429575
11,71263220.9932902,71201946.8915635
12,70750960.8703666,70647343.3137353
13,69537972.3555721,69488097.492478
14,67725151.2534897,67666883.670742
15,69940141.6244252,69896188.6128987
16,70696633.2052327,70618088.957018
17,68560363.7111562,68488959.582541
18,69623621.6895788,69547039.6968795
19,69602111.2617489,69534539.8670635
20,70661292.4633852,70581192.9218765
21,69220779.9810109,69122302.3582002
22,70774921.5701899,70703189.2425057
23,68529710.4954231,68441208.3566459
24,70002714.5353346,69915399.980893
25,69561452.7779443,69487462.085558
26,68813572.3597058,68747421.0507402
27,70447777.8829773,70362285.6698326
28,67587225.5354245,67472896.5369928
29,69780221.350155,69698550.4722427
30,69111634.3892309,69015483.1756336
31,70806229.3498494,70725106.2942526
32,69093768.4774423,69019168.6479377
33,71456579.2560688,71315880.6000085
34,69658216.1377232,69601922.1118862
35,69678050.0260895,69587556.6267649
36,69673691.6556154,69592468.7789713
37,69177590.7553637,69097788.5145376
38,70544120.2235715,70459254.8336603
39,71594327.8851645,71511546.9568008
40,70545186.1045846,70522204.4794351
41,70194371.9339897,70113422.554126
42,71310633.5063602,71211009.8887578
43,67867779.613161,67814185.8638913
44,67609011.1941881,67539136.3901281
45,69500149.0868917,69338021.6976247
46,67539094.7247862,67477801.034147
47,70120616.9804218,70008667.4508196
48,70823945.9161377,70769158.0616825
49,69195194.3495425,69096449.2347763
50,67886292.9469265,67828927.4576449
51,69424531.2884499,69333736.0658504
52,68989653.9078374,68901454.2306825
53,69252778.5115576,69193742.5144702
54,68305924.4239069,68217368.7124271
55,66764473.9816903,66719688.1481591
56,69222372.1881905,69144985.8692113
57,67169180.6379022,67061909.9224644
58,67232927.9646269,67132262.7829109
59,71944278.2861464,71873438.2644617
60,71507707.7727235,71480052.0458303
61,70049449.2538333,69979707.3710307
62,69398936.1126354,69289780.0608871
63,70912726.9415318,70816505.1926875
64,70829361.3032149,70778207.9832775
65,69873193.5845338,69817604.7912312
66,69236027.2550551,69170391.0927556
67,67908640.2065972,67853651.7522467
68,69646338.9661273,69583931.7932084
69,70390659.3992524,70363471.228542
70,69301183.5901549,69235184.8753747
71,69154239.3576287,69077968.1331891
72,68799064.0152942,68704689.9332508
73,68051326.6702538,68019729.1013849
74,68244741.9171245,68154694.4521881
75,69624040.6448221,69572996.3738326
76,70445543.8086096,70371736.0068828
77,70063840.2562221,69991615.6743223
78,70263473.704712,70215637.0698903
79,69748865.8103378,69706514.8260371
80,70079928.0426953,69987884.6904757
81,71560859.4096088,71486703.4641486
82,68719515.6358292,68611857.9749153
83,69906290.3220707,69782596.7524919
84,69748510.6699203,69685190.1602014
85,68814628.5353501,68758818.1570719
86,71396744.450483,71310326.5329274
87,69697661.5534346,69615780.8399667
88,68476708.2154683,68434966.4263068
89,68935552.5687038,68856604.7292134
90,69177539.1860149,69098020.1446555
91,70460934.4502118,70411471.3464254
