dependence_strength,elasticity_scale,elasticity_multiplier,surplus_rule,plan,mean_profit_yuan,standard_deviation_yuan,quantile_05_yuan,quantile_10_yuan,quantile_20_yuan,cvar_90_yuan,minimum_profit_yuan,mean_cost_yuan,mean_production_jin,mean_normal_sales_jin,mean_surplus_jin
weak,zero,0,half_price_surplus,q3_final,69579114.1368243,1059755.2402379,67844051.6459564,68203733.3816826,68672339.5521223,67720759.4039096,66014894.8147377,8123853.58539669,16614859.0372132,7055058.17985079,9559800.85736237
weak,zero,0,waste_all_surplus,q3_final,27043347.7191697,237255.460997544,26655312.8337348,26743810.0912252,26842099.3253041,26626957.3367849,26254458.4872468,8123853.58539669,16614859.0372132,7055058.17985079,9559800.85736237
weak,zero,0,half_price_surplus,q2_frozen,69651841.5757981,1059142.38763132,67910182.716964,68276183.2791932,68744844.2900257,67793852.237043,66078885.4153997,8156121.31797928,16646197.0133507,7104984.87315772,9541212.14019298
weak,zero,0,waste_all_surplus,q2_frozen,27182130.8505561,235151.899049512,26802256.6059663,26878015.3780158,26982881.6571041,26770780.2221124,26439682.0270087,8156121.31797928,16646197.0133507,7104984.87315772,9541212.14019298
weak,baseline,1,half_price_surplus,q3_final,69578575.8366474,1057217.08595951,67838211.6792289,68207023.3442106,68677504.730759,67724540.164438,66026856.7326095,8123853.58539669,16614859.0372132,7055098.54015117,9559760.49706199
weak,baseline,1,waste_all_surplus,q3_final,27042271.1188159,229458.612076561,26666192.1713843,26751671.4025245,26847439.6738176,26637926.7478296,26293311.9010424,8123853.58539669,16614859.0372132,7055098.54015117,9559760.49706199
weak,baseline,1,half_price_surplus,q2_frozen,69651329.3427745,1056462.85236165,67909481.9373308,68281929.3210284,68748554.4180647,67797808.7370462,66090136.4859954,8156121.31797928,16646197.0133507,7105074.17027542,9541122.84307528
weak,baseline,1,waste_all_surplus,q2_frozen,27181106.3845088,226618.145705942,26813032.8736559,26887226.5405258,26989603.7955005,26783484.8691669,26463072.6337728,8156121.31797928,16646197.0133507,7105074.17027542,9541122.84307528
weak,strong,1.5,half_price_surplus,q3_final,69578197.8556558,1055981.93499403,67845212.4431783,68207472.5363253,68675599.4488477,67726271.0734576,66032713.5704882,8123853.58539669,16614859.0372132,7055072.49121136,9559786.5460018
weak,strong,1.5,waste_all_surplus,q3_final,27041515.1568327,225995.382946243,26665468.3754294,26753798.9741453,26851703.4731139,26642528.6578636,26312699.8790083,8123853.58539669,16614859.0372132,7055072.49121136,9559786.5460018
weak,strong,1.5,half_price_surplus,q2_frozen,69650977.2764465,1055165.79388071,67914801.8439683,68284353.4694345,68747717.0758231,67799585.2532138,66095799.2429768,8156121.31797928,16646197.0133507,7105082.46044984,9541114.55290086
weak,strong,1.5,waste_all_surplus,q2_frozen,27180402.2518529,222918.790160513,26818500.0671474,26889108.8108105,26992444.5117612,26788682.1637517,26474727.777526,8156121.31797928,16646197.0133507,7105082.46044984,9541114.55290086
baseline,zero,0,half_price_surplus,q3_final,69578440.2551034,1193075.4361733,67596847.2410179,68044137.0021693,68582622.7374219,67472694.3841688,65498313.5016923,8122961.60333991,16615443.3336855,7055264.03897022,9560179.29471529
baseline,zero,0,waste_all_surplus,q3_final,27044636.1646179,285359.093328829,26580436.9357378,26678461.5808549,26799628.5031363,26544616.5216852,26042460.8043231,8122961.60333991,16615443.3336855,7055264.03897022,9560179.29471529
baseline,zero,0,half_price_surplus,q2_frozen,69651452.8854757,1190563.87498449,67683292.9588705,68121929.4959899,68655533.9027699,67549789.4981798,65607686.1183522,8155229.57844523,16646789.2021928,7105341.13638017,9541448.06581265
baseline,zero,0,waste_all_surplus,q2_frozen,27184015.2366799,278884.733328498,26728375.1363172,26825180.3706753,26942415.6830262,26695245.9215947,26242838.0761037,8155229.57844523,16646789.2021928,7105341.13638017,9541448.06581265
baseline,baseline,1,half_price_surplus,q3_final,69578124.6787055,1190684.59312968,67601428.2380538,68045444.1327177,68579326.0222044,67476465.2704683,65508573.056354,8122961.60333991,16615443.3336855,7055400.62364647,9560042.71003903
baseline,baseline,1,waste_all_surplus,q3_final,27044005.0118221,279041.870238839,26585487.6802089,26683336.1626927,26803177.7313228,26554507.9344316,26077412.8915553,8122961.60333991,16615443.3336855,7055400.62364647,9560042.71003903
baseline,baseline,1,half_price_surplus,q2_frozen,69651139.2432835,1187997.13843532,67687073.4227562,68128802.9351682,68663058.5522632,67553632.414794,65621955.5071204,8155229.57844523,16646789.2021928,7105508.73524269,9541280.46695013
baseline,baseline,1,waste_all_surplus,q2_frozen,27183387.9522954,271795.935628603,26740615.5282521,26834323.4996712,26949756.1512793,26706879.9274331,26239306.1062235,8155229.57844523,16646789.2021928,7105508.73524269,9541280.46695013
baseline,strong,1.5,half_price_surplus,q3_final,69577872.9076265,1189507.05386058,67603453.9155684,68045754.3450281,68578258.4010365,67478212.1427567,65513609.1990488,8122961.60333991,16615443.3336855,7055429.9313211,9560013.40236441
baseline,strong,1.5,waste_all_surplus,q3_final,27043501.4696641,276283.970898097,26586780.1379363,26685241.118439,26804317.4211825,26558531.3554136,26095011.0840132,8122961.60333991,16615443.3336855,7055429.9313211,9560013.40236441
baseline,strong,1.5,half_price_surplus,q2_frozen,69650897.2147369,1186744.17425801,67692176.610684,68130220.6946854,68664779.6177796,67555475.6295279,65629062.9678551,8155229.57844523,16646789.2021928,7105559.45105574,9541229.75113707
baseline,strong,1.5,waste_all_surplus,q2_frozen,27182903.8952022,268789.508612913,26747570.6652616,26835973.7746487,26952014.306353,26711329.7960746,26237604.4504794,8155229.57844523,16646789.2021928,7105559.45105574,9541229.75113707
strong,zero,0,half_price_surplus,q3_final,69578168.6301159,1351897.32962762,67332642.8430349,67808000.478342,68398895.6776216,67202773.7869092,64962189.2996154,8122468.33383975,16615774.0617227,7055471.27518956,9560302.78653312
strong,zero,0,waste_all_surplus,q3_final,27045902.8655471,339976.257369842,26475219.1858618,26606481.5010648,26755134.1725308,26448717.1229051,25926841.1970324,8122468.33383975,16615774.0617227,7055471.27518956,9560302.78653312
strong,zero,0,half_price_surplus,q2_frozen,69651320.7738953,1347521.7975587,67411849.8973381,67889983.6457745,68479472.0034343,67284187.5020234,65081111.1079352,8154736.28395827,16647130.1414322,7105609.61534033,9541520.52609184
strong,zero,0,waste_all_surplus,q2_frozen,27185545.0942057,329535.805996574,26633589.3565752,26764496.9511251,26896029.2479696,26608621.2738672,26019973.651279,8154736.28395827,16647130.1414322,7105609.61534033,9541520.52609184
strong,baseline,1,half_price_surplus,q3_final,69578149.6068584,1349583.82541756,67335238.0440301,67817903.908686,68403462.104035,67206503.8376325,64971884.7753697,8122468.33383975,16615774.0617227,7055738.87840144,9560035.18332125
strong,baseline,1,waste_all_surplus,q3_final,27045864.8190322,334371.61795465,26485638.6737842,26616695.9509127,26760664.0360117,26457685.9379451,25934508.145701,8122468.33383975,16615774.0617227,7055738.87840144,9560035.18332125
strong,baseline,1,half_price_surplus,q2_frozen,69651270.8263245,1345018.26613299,67414485.3542944,67899618.2155468,68478180.3190107,67288109.853999,65093544.9780692,8154736.28395827,16647130.1414322,7105884.77115792,9541245.37027425
strong,baseline,1,waste_all_surplus,q2_frozen,27185445.1990641,323181.428624868,26648576.1905255,26772149.6446482,26902973.4283571,26619274.724702,26020160.803785,8154736.28395827,16647130.1414322,7105884.77115792,9541245.37027425
strong,strong,1.5,half_price_surplus,q3_final,69578045.7806546,1348437.79902463,67334548.4703921,67818502.7465308,68405176.6216525,67208260.8928267,64976723.6402463,8122468.33383975,16615774.0617227,7055833.20165377,9559940.86006892
strong,strong,1.5,waste_all_surplus,q3_final,27045657.1666245,331927.9250477,26489967.920614,26623098.124461,26760382.1514746,26461478.4322674,25932745.0401371,8122468.33383975,16615774.0617227,7055833.20165377,9559940.86006892
strong,strong,1.5,half_price_surplus,q2_frozen,69651168.324017,1343792.08518245,67415911.2412142,67899233.8536054,68481568.3439175,67289989.0111834,65099720.4107236,8154736.28395827,16647130.1414322,7105993.18894442,9541136.95248776
strong,strong,1.5,waste_all_surplus,q2_frozen,27185240.1944491,320474.394742299,26654504.8941513,26777992.6007228,26902397.8862375,26623802.3827526,26019167.2903479,8154736.28395827,16647130.1414322,7105993.18894442,9541136.95248776
