slot,start,end,source_rows,source_times,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh,grid_kwh,charge_kwh,discharge_kwh,curtailed_pv_kwh,soc_start_kwh,soc_end_kwh,soc_increment_kwh,action,cost_yuan
1,00:00,00:10,2,00:10,0.4248,3439.8466,0.0,573.3077666666666,0.0,1406.6410999999998,833.3333333333333,0.0,0.0,6000.0,6750.0,750.0,charge,597.5411392799999
2,00:10,00:20,3,00:20,0.4245,3437.9792,0.0,572.9965333333333,0.0,1406.329866666667,833.3333333333333,0.0,0.0,6750.0,7500.0,750.0,charge,596.9870284000001
3,00:20,00:30,4,00:30,0.4269,3444.3031,0.0,574.0505166666667,0.0,1407.3838500000002,833.3333333333333,0.0,0.0,7500.0,8250.0,750.0,charge,600.8121655650001
4,00:30,00:40,5,00:40,0.4272,3454.4437,0.0,575.7406166666666,0.0,1409.0739499999981,833.3333333333333,0.0,0.0,8250.0,9000.0,750.0,charge,601.9563914399993
5,00:40,00:50,6,00:50,0.4271,3458.8273,0.0,576.4712166666666,0.0,1409.8045500000007,833.3333333333333,0.0,0.0,9000.0,9750.0,750.0,charge,602.1275233050003
6,00:50,01:00,7,01:00,0.4285,3459.8401,0.0,576.6400166666666,0.0,576.6400166666681,0.0,0.0,0.0,9750.0,9750.000000000002,1.8189894035458565e-12,idle,247.09024714166728
7,01:00,01:10,8,01:10,0.4311,3467.1582,0.0,577.8597,0.0,577.85969999999,0.0,0.0,0.0,9750.000000000002,9749.999999999993,-9.094947017729282e-12,idle,249.11531666999568
8,01:10,01:20,9,01:20,0.4302,3467.9632,0.0,577.9938666666667,0.0,577.9938666666661,0.0,0.0,0.0,9749.999999999993,9749.999999999993,0.0,idle,248.65296143999979
9,01:20,01:30,10,01:30,0.4279,3466.9683,0.0,577.82805,0.0,911.1613833333449,333.33333333334343,0.0,0.0,9749.999999999993,10050.000000000002,300.0000000000091,charge,389.8859559283383
10,01:30,01:40,11,01:40,0.4312,3482.4927,0.0,580.41545,0.0,580.4154500000021,0.0,0.0,0.0,10050.000000000002,10050.000000000004,1.8189894035458565e-12,idle,250.27514204000093
11,01:40,01:50,12,01:50,0.4333,3495.0841,0.0,582.5140166666666,0.0,582.5140166666661,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,252.4033234216664
12,01:50,02:00,13,02:00,0.4311,3498.4443,0.0,583.0740499999999,0.0,583.0740499999993,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,251.36322295499969
13,02:00,02:10,14,02:10,0.4293,3505.2295,0.0,584.2049166666666,0.0,584.2049166666657,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,250.79917072499958
14,02:10,02:20,15,02:20,0.4324,3512.6387,0.0,585.4397833333333,0.0,585.4397833333333,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,253.1441623133333
15,02:20,02:30,16,02:30,0.4367,3516.8685,0.0,586.1447499999999,0.0,586.1447499999995,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,255.96941232499975
16,02:30,02:40,17,02:40,0.4348,3517.9246,0.0,586.3207666666666,0.0,586.3207666666658,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,254.93226934666632
17,02:40,02:50,18,02:50,0.4335,3518.5518,0.0,586.4253,0.0,586.4253000000008,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,254.21536755000034
18,02:50,03:00,19,03:00,0.4357,3521.0976,0.0,586.8496,0.0,586.8495999999996,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,255.6903707199998
19,03:00,03:10,20,03:10,0.4374,3526.9261,0.0,587.8210166666667,0.0,587.8210166666668,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,257.11291269000003
20,03:10,03:20,21,03:20,0.4371,3537.2854,0.0,589.5475666666666,0.0,589.5475666666662,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,257.6912413899998
21,03:20,03:30,22,03:30,0.4356,3544.8808,0.0,590.8134666666666,0.0,590.8134666666665,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,257.35834607999993
22,03:30,03:40,23,03:40,0.4353,3541.2787,0.0,590.2131166666666,0.0,590.2131166666659,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,256.91976968499966
23,03:40,03:50,24,03:50,0.436,3546.3976,0.0,591.0662666666666,0.0,591.0662666666667,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,257.70489226666666
24,03:50,04:00,25,04:00,0.4378,3560.207,0.0,593.3678333333332,0.0,593.3678333333337,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,259.7764374333335
25,04:00,04:10,26,04:10,0.4401,3561.9581,0.0,593.6596833333333,0.0,593.6596833333333,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,261.269626635
26,04:10,04:20,27,04:20,0.4389,3556.7183,0.0,592.7863833333333,0.0,592.786383333334,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,260.1739436450003
27,04:20,04:30,28,04:30,0.4364,3560.0272,0.0,593.3378666666666,0.0,593.3378666666667,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,258.9326450133334
28,04:30,04:40,29,04:40,0.4393,3580.654,0.5994,596.7756666666667,0.0999,596.6757666666672,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,262.1196642966669
29,04:40,04:50,30,04:50,0.4422,3586.916,0.2345,597.8193333333334,0.03908333333333333,597.7802499999998,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,264.3384265499999
30,04:50,05:00,31,05:00,0.4395,3571.2635,0.2885,595.2105833333333,0.048083333333333325,595.1625000000004,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,261.5739187500002
31,05:00,05:10,32,05:10,0.4333,3562.3171,18.6781,593.7195166666667,3.1130166666666668,590.6064999999999,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,255.90979644999996
32,05:10,05:20,33,05:20,0.4439,3591.3809,54.4698,598.5634833333334,9.078299999999999,589.4851833333341,0.0,0.0,0.0,10050.000000000004,10050.000000000004,0.0,idle,261.67247288166703
33,05:20,05:30,34,05:30,0.4301,3579.7045,108.9718,596.6174166666666,18.161966666666665,578.4554499999958,0.0,0.0,0.0,10050.000000000004,10050.0,-3.637978807091713e-12,idle,248.7936890449982
34,05:30,05:40,35,05:40,0.3713,3486.119,184.1603,581.0198333333333,30.693383333333333,1383.6597833333326,833.3333333333333,0.0,0.0,10050.0,10800.0,750.0,charge,513.7528775516664
35,05:40,05:50,36,05:50,0.5708,3823.8994,277.0582,637.3165666666666,46.17636666666667,591.1401999999999,0.0,0.0,0.0,10800.0,10800.0,0.0,idle,337.42282615999994
36,05:50,06:00,37,06:00,0.9099,4398.0727,388.5494,733.0121166666665,64.75823333333332,0.0,0.0,668.2538833333329,0.0,10800.0,10057.495685185186,-742.5043148148143,discharge,0.0
37,06:00,06:10,38,06:10,0.9368,4454.0123,521.2803,742.3353833333333,86.88005,0.0,0.0,655.4553333333339,0.0,10057.495685185186,9329.211981481481,-728.2837037037043,discharge,0.0
38,06:10,06:20,39,06:20,0.8758,4371.7919,672.7677,728.6319833333333,112.12795,0.0,0.0,616.5040333333329,0.0,9329.211981481481,8644.2075,-685.004481481481,discharge,0.0
39,06:20,06:30,40,06:30,0.8759,4392.953,844.2261,732.1588333333334,140.70434999999998,0.0,0.0,591.4544833333341,0.0,8644.2075,7987.0358518518515,-657.171648148149,discharge,0.0
40,06:30,06:40,41,06:40,0.8601,4384.5956,1039.6744,730.7659333333332,173.27906666666667,0.0,0.0,557.4868666666665,0.0,7987.0358518518515,7367.606,-619.4298518518517,discharge,0.0
41,06:40,06:50,42,06:50,0.8442,4434.7757,1259.3375,739.1292833333333,209.88958333333335,0.0,0.0,529.2397000000002,0.0,7367.606,6779.5618888888885,-588.0441111111113,discharge,0.0
42,06:50,07:00,43,07:00,0.8334,4523.4561,1508.6318,753.90935,251.43863333333334,0.0,0.0,502.4707166666661,0.0,6779.5618888888885,6221.261092592593,-558.3007962962956,discharge,0.0
43,07:00,07:10,44,07:10,0.8092,4524.0721,1791.4107,754.0120166666667,298.56845,0.0,0.0,455.44356666666675,0.0,6221.261092592593,5715.212685185185,-506.04840740740747,discharge,0.0
44,07:10,07:20,45,07:20,0.7972,4545.8867,2085.4865,757.6477833333333,347.5810833333333,0.0,0.0,410.0667000000009,0.0,5715.212685185185,5259.583018518518,-455.6296666666676,discharge,0.0
45,07:20,07:30,46,07:30,0.7644,4523.2418,2381.2611,753.8736333333333,396.87685,0.0,0.0,356.99678333333276,0.0,5259.583018518518,4862.919925925926,-396.66309259259197,discharge,0.0
46,07:30,07:40,47,07:40,0.6899,4383.3566,2683.1752,730.5594333333333,447.1958666666667,0.0,0.0,283.3635666666669,0.0,4862.919925925926,4548.071518518518,-314.84840740740765,discharge,0.0
47,07:40,07:50,48,07:50,0.86,4910.4599,2986.3552,818.4099833333332,497.72586666666666,0.0,0.0,320.68411666666606,0.0,4548.071518518518,4191.755833333334,-356.3156851851845,discharge,0.0
48,07:50,08:00,49,08:00,1.1617,5799.7327,3289.204,966.6221166666666,548.2006666666666,0.0,0.0,418.4214500000001,0.0,4191.755833333334,3726.8431111111113,-464.9127222222223,discharge,0.0
49,08:00,08:10,50,08:10,1.1683,5884.826,3593.3613,980.8043333333333,598.89355,0.0,0.0,381.9107833333332,0.0,3726.8431111111113,3302.4977962962967,-424.3453148148146,discharge,0.0
50,08:10,08:20,51,08:20,1.0956,5748.0713,3890.7332,958.0118833333332,648.4555333333333,0.0,0.0,309.5563500000001,0.0,3302.4977962962967,2958.5462962962965,-343.9515000000001,discharge,0.0
51,08:20,08:30,52,08:30,1.0849,5769.0581,4181.3417,961.5096833333333,696.8902833333333,0.0,0.0,264.6194,0.0,2958.5462962962965,2664.524740740741,-294.02155555555555,discharge,0.0
52,08:30,08:40,53,08:40,1.061,5754.2105,4471.7657,959.0350833333333,745.2942833333333,0.0,0.0,213.74080000000004,0.0,2664.524740740741,2427.034962962963,-237.48977777777782,discharge,0.0
53,08:40,08:50,54,08:50,1.043,5824.1807,4752.8272,970.6967833333333,792.1378666666666,0.0,0.0,178.55891666666685,0.0,2427.034962962963,2228.6361666666667,-198.3987962962965,discharge,0.0
54,08:50,09:00,55,09:00,1.036,5954.2601,5021.9074,992.3766833333334,836.9845666666666,0.0,0.0,155.39211666666674,0.0,2228.6361666666667,2055.978259259259,-172.6579074074075,discharge,0.0
55,09:00,09:10,56,09:10,1.0147,5958.9696,5285.4126,993.1616,880.9020999999999,0.0,0.0,112.25950000000019,0.0,2055.978259259259,1931.2454814814812,-124.73277777777798,discharge,0.0
56,09:10,09:20,57,09:20,0.9922,5929.5554,5543.1742,988.2592333333333,923.8623666666667,0.0,0.0,64.39686666666637,0.0,1931.2454814814812,1859.6934074074074,-71.55207407407374,discharge,0.0
57,09:20,09:30,58,09:30,0.97,5923.7828,5788.4093,987.2971333333332,964.7348833333333,0.0,0.0,22.562249999999995,0.0,1859.6934074074074,1834.6242407407408,-25.06916666666666,discharge,0.0
58,09:30,09:40,59,09:40,0.9422,5907.586,6012.1304,984.5976666666667,1002.0217333333333,0.0,17.42406666666663,0.0,0.0,1834.6242407407408,1850.3059007407408,15.681659999999965,charge,0.0
59,09:40,09:50,60,09:50,0.9569,5899.1262,6216.1528,983.1877,1036.0254666666665,0.0,52.83776666666654,0.0,0.0,1850.3059007407408,1897.8598907407406,47.553989999999885,charge,0.0
60,09:50,10:00,61,10:00,0.9977,5902.2196,6409.5941,983.7032666666667,1068.2656833333333,0.0,84.56241666666655,0.0,0.0,1897.8598907407406,1973.9660657407405,76.1061749999999,charge,0.0
61,10:00,10:10,62,10:10,0.9919,5897.4793,6599.3808,982.9132166666666,1099.8968,0.0,116.98358333333367,0.0,0.0,1973.9660657407405,2079.251290740741,105.28522500000031,charge,0.0
62,10:10,10:20,63,10:20,0.9588,5886.7568,6766.7204,981.1261333333333,1127.7867333333334,0.0,146.66060000000016,0.0,0.0,2079.251290740741,2211.245830740741,131.99454000000014,charge,0.0
63,10:20,10:30,64,10:30,0.9549,5873.4708,6914.5923,978.9118,1152.43205,0.0,173.5202499999999,0.0,0.0,2211.245830740741,2367.414055740741,156.1682249999999,charge,0.0
64,10:30,10:40,65,10:40,0.9839,5858.0308,7064.2053,976.3384666666667,1177.36755,0.0,201.0290833333334,0.0,0.0,2367.414055740741,2548.340230740741,180.92617500000006,charge,0.0
65,10:40,10:50,66,10:50,0.799,5844.9948,7197.4315,974.1658,1199.5719166666665,0.0,225.40611666666638,0.0,0.0,2548.340230740741,2751.2057357407407,202.86550499999976,charge,0.0
66,10:50,11:00,67,11:00,0.5025,5839.0587,7303.1142,973.1764499999999,1217.1857,0.0,244.00925000000015,0.0,0.0,2751.2057357407407,2970.814060740741,219.60832500000015,charge,0.0
67,11:00,11:10,68,11:10,0.4662,5838.7103,7387.6848,973.1183833333332,1231.2808,575.1709166666665,833.3333333333333,0.0,0.0,2970.814060740741,3720.814060740741,750.0,charge,268.1446813499999
