strategy,date,cash_yuan,plan_yuan,emergency_yuan,emergency_kwh,terminal_inventory_kwh
D,2025-02-01,23512.05477002741,21684.774084166515,1827.280685860896,446.9636728354396,8368.653047036012
D,2025-02-02,56716.58667931274,55770.56455403908,946.0221252736573,193.68167739820657,8180.288864197537
D,2025-02-03,57597.2650651667,54327.01019873688,3270.2548664298215,897.5973537678459,8039.892242051315
D,2025-02-04,61007.49538532105,53682.30828709583,7325.187098225228,1798.4529944684145,8196.100508324804
D,2025-02-05,59844.92924589829,52965.01121861893,6879.9180272793565,1963.4426768364133,7999.966744098969
D,2025-02-06,59512.59890111638,53151.126785115215,6361.472116001163,1711.3792675743591,8114.5973532322305
D,2025-02-07,23904.955009338213,21058.82933044402,2846.125678894193,548.4268821198676,8146.2436029356795
D,2025-02-08,22338.83076377581,19915.207935800256,2423.6228279755574,649.847678972889,8005.634179012351
D,2025-02-09,60958.303787563076,52000.01184024327,8958.291947319804,2563.7559464306137,8015.425789885299
D,2025-02-10,54539.10485407441,52167.263754212894,2371.841099861511,727.0786903348912,8050.7521439795055
D,2025-02-11,53803.73490011543,51023.0147603916,2780.720139723833,669.8652641762308,7990.176893747055
D,2025-02-12,54839.172703406104,50405.07903614384,4434.093667262263,1073.115353375003,8075.350512946092
D,2025-02-13,52327.90322002911,49733.73949299664,2594.1637270324595,841.19896444866,7291.663706185154
D,2025-02-14,23763.17591536464,18433.7625456651,5329.4133696995395,1820.99711369153,7295.413583483627
D,2025-02-15,23448.942140909523,18717.209833399793,4731.732307509734,1484.4002657105602,8126.845360479787
D,2025-02-16,57037.734396933956,48866.607671079975,8171.12672585397,2191.47940878847,8049.433524691356
D,2025-02-17,51442.00293947343,48964.76088682252,2477.2420526509013,764.4119466995255,8012.864728395068
D,2025-02-18,51618.856664705236,48064.753687928125,3554.102976777109,835.98345003618,8087.875028681739
D,2025-02-19,55721.41914115385,47620.58258902954,8100.836552124313,2049.0153988918237,8034.874536576599
D,2025-02-20,51699.838555571165,46578.420115056644,5121.418440514528,1357.5767643001084,5908.3208310890395
D,2025-02-21,20286.61437313513,17739.22948987111,2547.384883264018,735.8801395193234,6028.948227103806
D,2025-02-22,25940.48274852266,18666.572675571355,7273.910072951305,2033.8936415731368,8092.5109828797995
D,2025-02-23,52847.888962918485,47219.34931353554,5628.539649382945,1646.6819039367447,8012.910069689274
D,2025-02-24,49725.741963425826,46973.217752270386,2752.5242111554444,682.3968304705033,8092.233627094175
D,2025-02-25,48738.73938523328,45959.52034325762,2779.2190419756694,788.0893124610647,8049.619750077029
D,2025-02-26,49839.46558975819,44916.46002372076,4923.005566037431,1294.122675881525,8083.6264968182395
D,2025-02-27,50012.84671939247,43650.057922604254,6362.78879678822,1366.0481002211925,5764.5059532842915
D,2025-02-28,22930.687753415994,17281.47294736327,5649.214806052722,1560.288143543219,5911.197270686758
D,2025-03-01,21861.58152799541,18106.904556248395,3754.676971747013,903.559532857223,8149.58137083896
D,2025-03-02,62128.58388738446,45230.61718898355,16897.966698400916,4586.9285661990725,8023.388757401993
D,2025-03-03,58501.04511647471,45689.13442657287,12811.91068990183,3201.1159250111823,8094.044662071039
D,2025-03-04,49935.60853684979,45785.920510393524,4149.688026456264,1386.5773102161536,8010.574248365333
D,2025-03-05,48107.07211720513,45018.405311374576,3088.666805830551,772.2724135527641,8049.404808318954
D,2025-03-06,46338.151267622874,43217.760798374875,3120.390469247999,836.000847393298,5842.468755954214
D,2025-03-07,20104.541264553845,16583.250170351177,3521.2910942026674,873.5116448677354,5944.05532519557
D,2025-03-08,18835.83332018128,17181.37021166411,1654.463108517168,542.9523651531234,8049.166164272565
D,2025-03-09,46420.71257250781,43007.46091882204,3413.2516536857693,891.3813397041506,8056.183485153034
D,2025-03-10,54849.81843354287,42331.55709940608,12518.26133413679,3867.5546448078776,8098.091080246919
D,2025-03-11,46658.86947826789,42590.948638297225,4067.9208399706663,1066.682677952088,8118.402666417694
D,2025-03-12,45314.49120174465,42107.78306692723,3206.7081348174233,927.3033643656013,8036.615116931419
D,2025-03-13,55054.96947171939,39747.28863432792,15307.68083739147,4216.0276744361145,4203.768518518523
D,2025-03-14,20249.33416566004,15483.317065491849,4766.017100168187,1171.3694903963496,4352.822434917323
D,2025-03-15,24155.799525693998,17064.61939698811,7091.18012870589,2228.4515426219127,8064.636946238121
D,2025-03-16,46443.245598935144,41577.545878752484,4865.699720182658,1336.0466377505688,8237.914887794299
D,2025-03-17,43432.74448698103,41255.02370169948,2177.720785281544,564.6357307882129,8106.067607420529
D,2025-03-18,47796.970830555045,39969.87621357156,7827.094616983487,1766.4375827958993,8145.6668234189765
D,2025-03-19,44239.41204451579,39572.209009628255,4667.20303488754,1107.2521108570147,8055.720333626434
D,2025-03-20,46184.3093937704,37366.497589976185,8817.811803794215,2392.926980178349,4250.9359567901365
D,2025-03-21,18159.328401497143,15147.533386038147,3011.795015458998,769.5868045526865,4331.454627178004
D,2025-03-22,21557.17214964627,16752.906987258826,4804.2651623874435,1388.6929623508054,8199.8815268355
D,2025-03-23,45763.38087367354,38602.87907808698,7160.501795586553,1885.3841949428408,8059.008834111324
D,2025-03-24,42429.85446098249,38358.773775502515,4071.080685479974,1146.8431418121736,8186.757662358324
D,2025-03-25,49658.79353643628,38030.512187755325,11628.281348680957,3170.849013335326,8002.944650552644
D,2025-03-26,40924.39471470228,38337.934485914346,2586.4602287879356,717.2131035674315,8014.430189640327
D,2025-03-27,43731.10469617845,35728.09911343214,8003.005582746308,2122.7787114191306,4278.208273550235
D,2025-03-28,16838.65926261377,14237.496493833569,2601.162768780202,725.8984532606561,3699.8716572100475
D,2025-03-29,19541.963677222528,16372.201147350697,3169.7625298718312,848.337122115375,8181.025011461957
D,2025-03-30,40589.947800787806,36355.56888321115,4234.3789175766615,1161.8730369767777,8146.061179540488
D,2025-03-31,44040.64577698271,35980.76446375882,8059.881313223889,2323.5975490687842,8105.715573322889
D,2025-04-01,50863.58048162816,36058.38537487545,14805.195106752713,4765.18432639777,8014.77323704999
D,2025-04-02,57162.08852423366,36582.08433333888,20580.00419089477,4990.454603360323,8040.431219213978
D,2025-04-03,40904.219616758666,34810.568744299395,6093.650872459269,1446.0132961872032,3579.609534707327
D,2025-04-04,15904.507091115116,13872.658309109713,2031.848782005403,589.8181632342812,3626.636693567849
D,2025-04-05,25416.542332174376,15824.815370020697,9591.726962153682,2380.0085773406577,8075.320012453222
D,2025-04-06,39272.15255045338,36029.38206301778,3242.7704874355977,887.8877355518562,8065.998082856393
D,2025-04-07,40137.73609290972,35633.68357847762,4504.0525144320945,1503.7750613016365,8229.320675260478
D,2025-04-08,45045.152938766856,34941.55776569151,10103.595173075337,2255.3130263790144,7997.605727463157
D,2025-04-09,53935.02789471371,34938.535094225444,18996.492800488268,5257.2206563393665,8049.949542603027
D,2025-04-10,41795.06554871018,33484.25475393527,8310.810794774916,1922.310288416679,3555.241172427365
D,2025-04-11,16382.504500050363,13236.670100598929,3145.8343994514335,854.3202523870328,2997.5269646190914
D,2025-04-12,22469.34827499066,15830.39696009025,6638.951314900413,1632.5662953828546,8142.412809835001
D,2025-04-13,41936.96727843965,34714.46182920522,7222.5054492344425,1841.4499426104069,8082.8403592042905
D,2025-04-14,38793.966512561594,34651.59497332809,4142.371539233507,1260.044581792596,8062.056283378205
D,2025-04-15,38004.283856253925,34212.614492316825,3791.6693639371074,993.2574975663457,8012.31605366591
D,2025-04-16,47592.97907480133,33650.1286622937,13942.850412507638,4002.171022538968,8060.265191991391
D,2025-04-17,38149.85426532822,31622.063672988294,6527.790592339927,1499.5351480878514,2756.788123949923
D,2025-04-18,15409.196347066412,13089.931806447425,2319.2645406189877,738.552127478626,2919.9929993645983
D,2025-04-19,17568.105527579144,15213.98845053685,2354.1170770422937,755.3383493862825,8197.132558399268
D,2025-04-20,40290.21093725948,33600.17428789506,6690.03664936442,1727.8961683166597,8210.28270075203
D,2025-04-21,36996.92183307659,33409.5605262469,3587.3613068296804,1102.8218516144466,8063.141022604277
D,2025-04-22,41297.49367683486,32719.736454179696,8577.757222655166,2606.4853209090734,8134.025197162024
D,2025-04-23,39277.7268623834,32715.99004027416,6561.73682210924,2080.899842603869,8132.8420020201465
D,2025-04-24,32741.91153070405,29953.03857499166,2788.872955712386,633.5538012001717,2051.532556136961
D,2025-04-25,15230.941581535342,12152.875278596246,3078.0663029390944,790.3601071381644,2114.350885981448
D,2025-04-26,23794.312956225283,14836.070885869838,8958.242070355447,2281.515342625693,8113.979326829418
D,2025-04-27,40677.51148145954,31143.85220231159,9533.659279147952,2274.7508198068726,7970.437858024699
D,2025-04-28,63710.0158853487,31332.259176424213,32377.75670892449,8859.562843230804,8074.875810017141
D,2025-04-29,37099.03378408384,32325.104391453053,4773.929392630787,1248.8691483451128,8004.083093263799
D,2025-04-30,41444.252044028384,31882.905358597265,9561.346685431115,2872.2067934641877,8119.68393436315
D,2025-05-01,51579.944904176096,28680.35478094164,22899.590123234462,4957.086577123857,1949.9999999999982
D,2025-05-02,42878.76055435298,12155.51623459444,30723.24431975854,6879.936889181436,1950.0000000000002
D,2025-05-03,28779.797107420905,15930.22808809572,12849.569019325187,2859.957404635906,8015.477019379728
D,2025-05-04,44406.35353194133,33625.75184677039,10780.601685170932,2862.5781385600435,7949.999999999998
D,2025-05-05,53863.53271793602,34135.36393432117,19728.16878361485,4424.041893702739,8052.33344053349
D,2025-05-06,45607.63116936482,35177.879618137,10429.751551227811,2520.544451233338,8099.1619765293635
D,2025-05-07,45821.87001445719,34935.41977709654,10886.450237360648,2594.1329325998563,8032.383251969166
D,2025-05-08,45849.05566230888,32464.24308402445,13384.812578284433,3713.075739908629,1978.3407923525292
D,2025-05-09,20273.297800354703,13588.610995223278,6684.686805131426,1517.208300150195,2092.7750740558668
D,2025-05-10,27512.8696932702,17098.290313224425,10414.579380045776,2631.0460402397657,8194.335300779934
D,2025-05-11,44071.195784850526,36011.183104091855,8060.01268075867,2143.583860208517,8060.642737184407
D,2025-05-12,41352.04462675087,35975.46892406515,5376.575702685716,1673.3166002201497,8290.720641363718
D,2025-05-13,41113.65809350927,35095.92417353617,6017.733919973105,1446.0603992836764,8089.495224252451
D,2025-05-14,41019.15449175885,34895.47389337461,6123.680598384231,1693.269730383041,8208.8439806565
D,2025-05-15,39835.33455741888,31687.80144193067,8147.5331154882115,2146.863127191766,2230.0808530525437
D,2025-05-16,16907.35741749261,13837.257232881544,3070.100184611063,927.6278147307291,2353.859983191718
D,2025-05-17,30694.695111852892,16362.06738152889,14332.627730324002,3432.845168461864,8058.43158721079
D,2025-05-18,45769.050480083795,34112.52390935891,11656.526570724876,3539.0401085340063,8151.398813466574
D,2025-05-19,38910.998918587386,33998.21904937631,4912.779869211074,1028.7661843137346,8026.55126221312
D,2025-05-20,49807.67427697523,33147.34386663654,16660.330410338694,4458.79525623072,8027.222582340129
D,2025-05-21,46510.10174265344,33780.17455412137,12729.92718853207,3067.277632350854,8195.14233575926
D,2025-05-22,35919.14575557005,30523.814920947032,5395.3308346230115,1352.227749903237,1376.0706267316327
D,2025-05-23,21535.56604983954,13640.154039422774,7895.412010416768,1962.1136484920414,1482.977173578155
D,2025-05-24,20212.86067189185,16621.168144691743,3591.692527200109,964.6991865016201,8183.183806178269
D,2025-05-25,37755.72163118756,33055.31261104231,4700.409020145253,1187.1191778943296,8089.989826304352
D,2025-05-26,54513.37403824201,32670.73889535749,21842.635142884516,5915.955857216314,8134.997398790812
D,2025-05-27,39885.51892461975,33212.01232740116,6673.506597218595,1707.8351247834196,7961.339974926706
D,2025-05-28,47987.28356872796,33012.197923611064,14975.085645116891,4319.799152037185,8104.341561996009
D,2025-05-29,47751.129060490064,29876.548824651647,17874.580235838424,4182.161474691169,1351.7058251737662
D,2025-05-30,25618.781532438003,13459.783965888802,12158.997566549195,2941.0481355632473,1542.9605221483887
D,2025-05-31,27315.946124049922,16369.584898813559,10946.361225236364,2773.91039303306,8111.619413551813
D,2025-06-01,105399.56038814955,33955.21480007183,71444.34558807772,18583.357134549107,7950.000000000011
D,2025-06-02,84471.21053941376,37688.43629969573,46782.77423971803,11426.174514369975,7949.999999999997
D,2025-06-03,66287.60321590742,40777.0492756326,25510.553940274825,6070.456559698165,8075.026764225723
D,2025-06-04,57543.678424614496,43134.50367018659,14409.174754427924,4464.906276291504,8096.88734733049
D,2025-06-05,60462.38082101677,40766.3874950295,19695.99332598727,5082.401940633879,2033.4434237003761
