strategy,days,initial_inventory_kwh,final_inventory_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cash_yuan
q2/D,334,8657.424357634898,8008.228890315043,12171714.672147267,0,3328882.7797759203,15500597.451923186
q2/S,334,8657.424357634898,8221.730319585822,13458682.82104527,0,829788.4642581192,14288471.285303388
q2/F_fast,334,8657.424357634898,8264.385129814937,13464366.066515144,0,311675.07755694166,13776041.144072086
q3/Z1_000,334,8657.424357634898,8264.38515241917,13355619.10297648,0.0,256709.19510421227,13612328.298080692
q3/Z1_010,334,8657.424357634898,8264.385152419169,13354201.256253973,-7662.520271578855,249646.10003205654,13596184.83601445
q3/Z1_011,334,8657.424357634898,8264.385152419169,13353602.502912244,11485.52393119092,198338.21323844127,13563426.240081877
q3/Z1_111,334,8657.424357634898,8264.38515241917,13353615.35251322,22479.209344686213,173713.78868782558,13549808.35054573
q3/Z2_110,334,8657.424357634898,8303.264540073993,13261211.41316475,46800.070896576675,230069.46172933397,13538080.945790661
q3/Z2_111,334,8657.424357634898,8303.866854888813,13260668.461390946,64585.16723080026,177922.74432704013,13503176.372948786
q4_2/known_day_ahead,334,8657.424357634898,6027.215734524098,14097878.398384493,0,335377.5599720994,14433255.958356593
q4_2/previous_day_forecast,334,8657.424357634898,8711.143065711367,14259608.264598556,0,343847.635759096,14603455.900357652
q4_3/known_day_ahead,334,8657.424357634898,6134.9226842429525,13886393.790854465,70729.6397471641,191156.5874238236,14148280.018025452
q4_3/previous_day_forecast,334,8657.424357634898,8700.0,14047999.606419124,66654.49558545093,205403.44621904002,14320057.548223615
